section,species,filesize_mb,width,height,image_type,source,hash,full_path
acanthophora,acerifolium,8.9974,3750,5500,jpg,gbif,8c86b6326a6e0cca,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_1928496814_gbif_2700.jpg
acanthophora,acerifolium,7.3703,3750,5500,jpg,gbif,bea48d0a2aac92b2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_1928638909_gbif_2609.jpg
acanthophora,acerifolium,7.0359,3750,5500,jpg,gbif,b893b2a893b6a2e6,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_1928803178_gbif_2510.jpg
acanthophora,acerifolium,7.873,3750,5500,jpg,gbif,98a6963cb69a8aca,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_1929578053_gbif_2035.jpg
acanthophora,acerifolium,5.9595,3750,5500,jpg,gbif,96963696ca8adaf2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_1929578350_gbif_2034.jpg
acanthophora,acerifolium,6.3095,3750,5500,jpg,gbif,b4938b8682beb2f2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_1930342960_gbif_1533.jpg
acanthophora,acerifolium,6.4096,3750,5500,jpg,gbif,96a893832cb2a2c2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_1930787117_gbif_1220.jpg
acanthophora,acerifolium,9.5827,6738,8934,jpg,idigbio,e6e62e3cc6879551,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_2ba4f510-8fb1-430b-a53c-833c6f8f7c45_idigbio_4044.jpeg
acanthophora,acerifolium,4.3827,3231,5008,jpg,gbif,8c0e26574accce88,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_437153638_gbif_6647.jpeg
acanthophora,acerifolium,5.7148,3260,5011,jpg,gbif,36379b933e8eccac,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_437784428_gbif_6461.jpeg
acanthophora,acerifolium,11.0593,6708,8930,jpg,idigbio,343ec6a6262f1d15,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_ce5c827d-f700-43cf-96e5-7418ac02fb90_idigbio_6349.jpeg
acanthophora,acerifolium,10.4834,6740,8943,jpg,idigbio,da22266c26371999,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_acerifolium_dda9ae5c-ffca-402a-8697-b5cb7ecf30b5_idigbio_4054.jpeg
acanthophora,aculeatissimum,3.935,3456,5184,jpg,gbif,6736318f8fb0c1c8,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_aculeatissimum_2270555256_gbif_592.jpg
acanthophora,capsicoides,8.2127,3750,5500,jpg,gbif,b08ace222696a6aa,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_capsicoides_1929342862_gbif_2191.jpg
acanthophora,capsicoides,7.4239,3750,5500,jpg,gbif,8e1a3abe1626ead2,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_capsicoides_1930457500_gbif_1449.jpg
acanthophora,mammosum,0.6219,871,1440,jpg,gbif,f43f3b3331b1ec30,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_1055880046_gbif_4844.jpeg
acanthophora,mammosum,0.5724,870,1440,jpg,gbif,ce23697a3a33a333,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_1056508395_gbif_4647.jpeg
acanthophora,mammosum,0.7719,869,1440,jpg,gbif,39192d6d891fc622,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output\acanthophora\acanthophora_mammosum_1056519835_gbif_4617.jpeg
