section,species,filesize_mb,image_type,source,full_path
acanthophora,acerifolium,0.036,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_1928496814_gbif_2700.jpg
acanthophora,acerifolium,0.0334,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_1928638909_gbif_2609.jpg
acanthophora,acerifolium,0.0278,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_1928803178_gbif_2510.jpg
acanthophora,acerifolium,0.0267,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_1929578053_gbif_2035.jpg
acanthophora,acerifolium,0.0241,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_1929578350_gbif_2034.jpg
acanthophora,acerifolium,0.024,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_1930342960_gbif_1533.jpg
acanthophora,acerifolium,0.028,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_1930787117_gbif_1220.jpg
acanthophora,acerifolium,0.0285,jpg,idigbio,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_2ba4f510-8fb1-430b-a53c-833c6f8f7c45_idigbio_4044.jpeg
acanthophora,acerifolium,0.0258,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_437153638_gbif_6647.jpeg
acanthophora,acerifolium,0.028,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_437784428_gbif_6461.jpeg
acanthophora,acerifolium,0.0326,jpg,idigbio,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_ce5c827d-f700-43cf-96e5-7418ac02fb90_idigbio_6349.jpeg
acanthophora,acerifolium,0.0313,jpg,idigbio,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_acerifolium_dda9ae5c-ffca-402a-8697-b5cb7ecf30b5_idigbio_4054.jpeg
acanthophora,aculeatissimum,0.0231,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_aculeatissimum_2270555256_gbif_592.jpg
acanthophora,capsicoides,0.0334,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_capsicoides_1929342862_gbif_2191.jpg
acanthophora,capsicoides,0.0307,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_capsicoides_1930457500_gbif_1449.jpg
acanthophora,mammosum,0.0297,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_1055880046_gbif_4844.jpeg
acanthophora,mammosum,0.0292,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_1056508395_gbif_4647.jpeg
acanthophora,mammosum,0.0381,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_1056519835_gbif_4617.jpeg
acanthophora,mammosum,0.0229,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_1928244617_gbif_2893.jpg
acanthophora,mammosum,0.0239,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_1929678874_gbif_1970.jpg
acanthophora,mammosum,0.0231,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_1929879033_gbif_1841.jpg
acanthophora,mammosum,0.0323,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_1930025660_gbif_1745.jpg
acanthophora,mammosum,0.035,jpg,idigbio,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_69e9677d-bbeb-4fbd-89b7-686b1c562a31_idigbio_1261.jpeg
acanthophora,mammosum,0.0288,jpg,idigbio,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_9fd00e1f-b764-40ce-942a-a91f63417ee5_idigbio_1388.jpeg
acanthophora,mammosum,0.02,jpg,idigbio,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_b1de965e-cd44-4c4a-8700-5f33f3b0e71d_idigbio_1522.jpeg
acanthophora,mammosum,0.0336,jpg,idigbio,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_c4b772ba-bdd0-48d9-ad89-4a7ca6644b71_idigbio_5449.jpeg
acanthophora,mammosum,0.0248,jpg,idigbio,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_mammosum_fc8597e7-f91a-4923-962a-6fa3e808166b_idigbio_2066.jpeg
acanthophora,myriacanthum,0.0234,jpg,idigbio,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_myriacanthum_06f2ad8e-95e8-4edc-a0b1-56bffada4c6d_idigbio_972.jpeg
acanthophora,myriacanthum,0.0363,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_myriacanthum_1055519943_gbif_4929.jpeg
acanthophora,myriacanthum,0.0296,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_myriacanthum_1055617811_gbif_4909.jpeg
acanthophora,myriacanthum,0.026,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_myriacanthum_1056508812_gbif_4637.jpeg
acanthophora,myriacanthum,0.0257,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_myriacanthum_1057239689_gbif_4423.jpeg
acanthophora,myriacanthum,0.0331,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_myriacanthum_1057327140_gbif_4399.jpeg
acanthophora,myriacanthum,0.0246,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_myriacanthum_1057482236_gbif_4359.jpeg
acanthophora,myriacanthum,0.032,jpg,gbif,P:/CODE/ITESM/tesis-dataset-downloader/solanum_output/z_clean_resized/acanthophora/acanthophora_myriacanthum_1228378548_gbif_4212.jpg
